id,observed_on_string,observed_on,time_observed_at,time_zone,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,private_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
3995575,Tue Aug 30 2016 12:28:22 GMT-0400 (EDT),2016-08-30,2016-08-30 16:28:22 UTC,Eastern Time (US & Canada),false,306798,mattador,2016-08-30 16:45:10 UTC,2017-07-10 16:38:42 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3995575,https://static.inaturalist.org/photos/4718067/medium.jpg?1472575525,,"",,false,4,0,false,3,"602 Marietta St NW, Atlanta, GA, US",33.7698283333,-84.3999033333,,,,,,,open,false,,,Cooper's Hawk,Accipiter cooperii,Cooper's Hawk,Aves,5112
4260978,Mon Oct 03 2016 12:39:27 GMT-0400 (EDT),2016-10-03,2016-10-03 16:39:27 UTC,Eastern Time (US & Canada),false,336347,samp,2016-10-03 16:41:00 UTC,2016-10-03 23:13:43 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4260978,https://static.inaturalist.org/photos/5099869/medium.jpg?1475512995,,,,false,2,0,false,3,"845 Spring St NW, Atlanta, GA, US",33.7774930196,-84.3877513056,10,,,,,,,false,,,Tennessee Warbler,Oreothlypis peregrina,Tennessee Warbler,Aves,145217
4489733,Thu Nov 03 2016 18:49:49 GMT-0400 (EDT),2016-11-03,2016-11-03 22:49:49 UTC,Eastern Time (US & Canada),,307232,rachel104,2016-11-03 22:50:02 UTC,2016-11-04 22:16:33 UTC,casual,,http://www.inaturalist.org/observations/4489733,https://static.inaturalist.org/photos/5423152/medium.jpg?1478213408,,,,false,1,0,true,3,"Georgia Institute of Technology, Atlanta, GA, US",33.7814206656,-84.4047272667,65,,,,,,,false,,,Flowering Plants,Angiospermae,flowering plants,Plantae,47125
4679787,2016/12/02 9:20 AM EST,2016-12-02,2016-12-02 14:20:00 UTC,Eastern Time (US & Canada),false,371898,frogdogjog,2016-12-02 18:24:32 UTC,2016-12-02 18:32:49 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4679787,https://static.inaturalist.org/photos/5679025/medium.jpg?1480702955,,"",,false,2,0,false,,"Midtown, Atlanta, GA, USA",33.7769,-84.3985888889,,,,,,,,false,,,Northern Mockingbird,Mimus polyglottos,Northern Mockingbird,Aves,14886
5068232,Tue Feb 07 2017 08:56:22 GMT-0500 (EST),2017-02-07,2017-02-07 13:56:22 UTC,Eastern Time (US & Canada),false,385784,atlnature,2017-02-07 14:25:47 UTC,2019-05-11 21:18:29 UTC,research,CC-BY,https://www.inaturalist.org/observations/5068232,https://static.inaturalist.org/photos/6218897/medium.jpg?1486477550,,"",,false,3,0,false,3,"Georgia Institute of Technology, Atlanta, GA, US",33.77667,-84.39647,,,,,,,open,false,,,Yellow-rumped Warbler,Setophaga coronata,Yellow-rumped Warbler,Aves,145245
5160690,Thu Feb 23 2017 08:18:50 GMT-0500 (EST),2017-02-23,2017-02-23 13:18:50 UTC,Eastern Time (US & Canada),false,385784,atlnature,2017-02-23 14:04:36 UTC,2017-02-23 14:15:30 UTC,research,CC-BY,https://www.inaturalist.org/observations/5160690,https://static.inaturalist.org/photos/6360611/medium.jpg?1487858681,,,,false,2,0,false,3,"Georgia Institute of Technology, Atlanta, GA, US",33.7774283333,-84.4047,,,,,,,,false,,,Palm Warbler,Setophaga palmarum,Palm Warbler,Aves,145242
5236005,Mon Mar 06 2017 08:00:40 GMT-0500 (EST),2017-03-06,2017-03-06 13:00:40 UTC,Eastern Time (US & Canada),false,385784,atlnature,2017-03-06 13:16:13 UTC,2017-03-06 14:31:53 UTC,research,CC-BY,https://www.inaturalist.org/observations/5236005,https://static.inaturalist.org/photos/6474402/medium.jpg?1488806179,,,,false,3,0,false,3,"Georgia Institute of Technology, Atlanta, GA, US",33.7786966667,-84.4020783333,,,,,,,,false,,,American Goldfinch,Spinus tristis,American Goldfinch,Aves,145310
5289110,Sun Mar 12 2017 11:07:09 GMT-0400 (EDT),2017-03-12,2017-03-12 15:07:09 UTC,Eastern Time (US & Canada),false,385784,atlnature,2017-03-12 15:10:23 UTC,2017-03-12 16:48:52 UTC,research,CC-BY,https://www.inaturalist.org/observations/5289110,https://static.inaturalist.org/photos/6542596/medium.jpg?1489331430,,,,false,2,0,false,3,"Georgia Institute of Technology, Atlanta, GA, US",33.7771416667,-84.3937133333,,,,,,,,false,,,House Sparrow,Passer domesticus,House Sparrow,Aves,13858
5648613,Tue Apr 11 2017 08:07:16 GMT-0400 (EDT),2017-04-11,2017-04-11 12:07:16 UTC,Eastern Time (US & Canada),,385784,atlnature,2017-04-11 14:56:50 UTC,2018-11-14 09:39:47 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/5648613,https://static.inaturalist.org/photos/6991152/medium.jpg?1491922654,,"",,false,1,0,false,3,"Georgia Institute of Technology, Atlanta, GA, US",33.7771033333,-84.3956966667,,,,,,,,false,,,Insects,Coccinellidae,Lady Beetles,Insecta,48486
5995164,Fri Apr 28 2017 11:01:13 GMT-0400 (EDT),2017-04-28,2017-04-28 15:01:13 UTC,Eastern Time (US & Canada),false,460120,micahbray,2017-04-28 15:02:13 UTC,2017-04-28 16:19:15 UTC,research,,https://www.inaturalist.org/observations/5995164,https://static.inaturalist.org/photos/7497358/medium.jpg?1493391740,,"",,false,2,0,false,3,"940–998 Dalney St NW, Atlanta, GA, US",33.7801575009,-84.3999396824,,,,,,,,false,,,Mourning Dove,Zenaida macroura,Mourning Dove,Aves,3454
